X,Y,osm_id,building,amenity,leisure,name,addr:housename,addr:place
77.2174685950068,28.630298887685,103176783,yes,,,,,
77.2218110205964,28.6300605498123,164675815,yes,,,,,
77.2176796601469,28.6312650776249,485053609,parking,parking,park,Palika Parking,,
77.2178276312975,28.6328958188545,-8478230,commercial,,,A-Block,,
77.2205405682076,28.6312790479299,352218119,yes,,,,,
77.2215323459047,28.6318813001883,488537384,yes,,,,,
77.22168685,28.6319818,488537388,yes,,,,,
77.22183130337,28.6323549496604,488537380,yes,,,,,
77.2217299342638,28.6327279180354,569747465,yes,,,,,
77.2226749296456,28.632627298935,125453684,yes,,,,,
77.2178273,28.63371705,692059274,roof,,,,,
77.2190941955705,28.6342951026168,125439746,yes,,,,B,Connaught Place
77.218616642705,28.6344872035508,125439738,yes,,,,,
77.2181829860256,28.6348114850315,125460321,yes,,,,,
77.2190512319278,28.6346383069036,125439723,yes,,,,,
77.2203053189012,28.6343829150789,125453676,yes,,,,,
77.2211907166136,28.6339992454174,570616025,yes,,,,,
77.2217608114974,28.6343613845275,125442276,yes,,,,,
77.2208172748939,28.6351251451233,125442296,yes,,,,,
77.221254990171,28.6351871831612,657956580,yes,,,,,
77.2222409592358,28.6350634997365,352447745,yes,,,,,
