X,Y,osm_id,landuse,name,amenity,leisure,building,barrier,addr:street
77.2127886450728,28.6285413011231,138946111,commercial,,,,,,
77.2230486968029,28.6289145701199,58718791,commercial,,,,,,
77.2169030384885,28.6328925374957,558894844,retail,G-Block,,,,,
77.2184812622974,28.6310235184175,43826234,retail,Pallika Bazaar,,,,,
77.2176796601469,28.6312650776249,485053609,,Palika Parking,parking,park,parking,,
77.2189261045115,28.6307535291453,485053607,,Palika,,park,,,
77.2178732096536,28.6329201079914,558600791,retail,A-Block,,,,,
77.2197084077185,28.6328098919379,164675825,,Central Park,,park,,,
77.2213094880633,28.630754073854,43826236,retail,,,,,,
77.2211724369457,28.6307607105107,558600787,retail,N-Block,,,,,
77.220581942425,28.6314050347383,558894839,retail,F-Block,,,,,
77.2226198373212,28.6302489759297,291265312,commercial,,,,,wall,Barakhamba Road
77.2215852459522,28.6326681490194,558894840,retail,E-Block,,,,,
77.2225601154467,28.6326627935079,558600786,retail,M-Block,,,,,
77.2188797706377,28.6341952265859,558600790,retail,B-Block,,,,,
77.2182537660375,28.634794902145,558894843,retail,H-Block,,,,,
77.220316173569,28.6342770393105,558600789,retail,C-Block,,,,,
77.2211771958128,28.6338927841427,558894841,retail,D-Block,,,,,
77.2217373159426,28.6344936214181,558600788,retail,L-Block,,,,,
77.2206342579165,28.6350454392461,558894842,retail,K-Block,,,,,
